old_schema,old_table,entity_java,helper_or_service,api_action,classification,target_table,target_schema_strategy,migration_strategy,notes
koperasi,retur_penjualan,ais.database.model.koperasi.ReturPenjualan,PosApi,si_gross_profit_report,TENANT_OWNED,retur_penjualan,tenant_schema,copy_per_tenant,1 rujukan.
koperasi,jenis_produk,ais.database.model.koperasi.JenisProduk,PosApi,si_inventory_balance,TENANT_OWNED,jenis_produk,tenant_schema,copy_per_tenant,1 rujukan. Kandidat SHARED_REFERENCE bila katalog jenis diseragamkan lintas tenant - perlu keputusan.
koperasi,jenis_anggota_koperasi,ais.database.model.koperasi.JenisAnggotaKoperasi,PosApi,si_customer_list,TENANT_OWNED,jenis_anggota_koperasi,tenant_schema,copy_per_tenant,1 rujukan. Kandidat SHARED_REFERENCE - perlu keputusan.
koperasi,draft_pembelian,ais.database.model.koperasi.DraftPembelian,PosApi,si_purchase_terms_save,TENANT_OWNED,draft_pembelian,tenant_schema,copy_per_tenant,Hanya lewat Criteria/get - TIDAK terlihat pada grep SQL yang diperintahkan MD 8.2.
koperasi,draft_pembelian_anggota_koperasi,ais.database.model.koperasi.DraftPembelianAnggotaKoperasi,PosApi,si_purchase_terms_save,TENANT_OWNED,draft_pembelian_anggota_koperasi,tenant_schema,copy_per_tenant,Hanya lewat Criteria/get - TIDAK terlihat pada grep SQL MD 8.2.
public,tbmuser,ais.database.model.Tbmuser,PosApi,si_actor_context;si_audit_history,CONTROL_PLANE,tbmuser,shared_control_plane,stay,Identitas dan otentikasi. PK userid unik; tidak punya relasi ke Pendaftar (arah sebaliknya) - 01-source-audit:64.
public,foto_gambar_produk,ais.database.model.FotoGambarProduk,PosApi,si_inventory_balance,TENANT_OWNED,foto_produk,tenant_schema,decide,BELUM ADA tabel padanannya -- dijadwalkan bundel v9 (lihat 05-pemetaan-tabel.md). Entitasnya memuat Blob foto DAN path/gdrive/url; perlu dipastikan mana yang dipakai produksi sebelum memutuskan Blob ikut pindah per tenant.
,mutasi_idempoten,ais.database.model.MutasiIdempoten,MutasiIdempotenEBisnisUtil,si_collection_create;si_expense_create;si_payable_payment_create,TENANT_OWNED,mutasi_idempoten,shared_public,stay,"KOREKSI P4: TETAP di public, tidak dipindah. Skema kini eksplisit @Table(schema=public) sehingga tidak lagi bergantung search_path. Idempotensi jalur TENANT memakai <slug>.idempotency_record (v8); yang ini melayani jalur legacy lintas-tenant."
library,kode_transaksi,ais.database.model.library.KodeTransaksi,PosApi,si_collection_receipt;si_print_log_create,SHARED_REFERENCE,kode_transaksi,shared_reference,stay,Kode transaksi lintas modul.
asset,master_asset,ais.database.model.asset.MasterAsset,PosApi,si_inventory_balance,SHARED_REFERENCE,master_asset,decide,decide,Skema keempat yang tidak disebut MD 8.2 (MD hanya menyuruh grep koperasi/library/akunting). Milik modul Pengadaan; perlu keputusan saat Pengadaan ikut di-tenant-kan.
asset,detail_transaksi_asset,ais.database.model.asset.DetailTransaksiAsset,PosApi,si_inventory_balance,SHARED_REFERENCE,detail_transaksi_asset,decide,decide,Idem master_asset.
new_audit,*__audit (1561 entitas @Audited),(dibangkitkan Hibernate Envers),RevisiApiHelper;seluruh entitas @Audited,si_audit_history;si_audit_,TENANT_OWNED,*__audit,BLOKIR - lihat notes,decide,"PEMBLOKIR ARSITEKTUR. org.hibernate.envers.default_schema=new_audit bersifat STATIS per SessionFactory dan tidak dapat berbeda per tenant. Dengan 4 SessionFactory tetap dan tanpa SessionFactory per tenant, seluruh baris audit semua tenant berkumpul di SATU skema new_audit. store_data_at_delete=true berarti data terhapus pun tersimpan di sana. MD tidak menyebut Envers sama sekali (0 kemunculan)."
new_audit,revinfo,(Envers),seluruh entitas @Audited,-,CONTROL_PLANE,revinfo,shared_control_plane,stay,"Tabel revisi global Envers dengan sequence tunggal. Nama diasumsikan bawaan - perlu konfirmasi ke DB. Bila audit dipisah per tenant, sequence-nya harus diputuskan."
public,tbmrole,ais.database.model.Tbmrole,PosApi;EbisnisMenuKatalog,seluruh aksi ber-hak-akses,CONTROL_PLANE,tbmrole,shared_control_plane,stay,"Peran GLOBAL, tanpa pengikat tenant. Kewenangan DI DALAM tenant memakai <slug>.role_tenant + pengguna_tenant + user_role_tenant (v2). Selama si_* belum dipindah (P4), hak akses Inventory & Sales masih dibaca dari sini -- daftar peran masih satu kolam lintas tenant walau datanya tidak bercampur."
